Gamma_e,delta_a,peak_index,peak_position
0.3162,20.5,1,10.24491554680258
0.3162,21.0,0,-10.498810552989498
0.3162,21.0,1,10.495037021583576
0.3162,21.5,0,-10.74883817757934
0.3162,21.5,1,10.745153835299282
0.3162,22.0,0,-10.998864549487228
0.3162,22.0,1,10.995263326627022
0.3162,22.5,0,-11.24888975100668
0.3162,22.5,1,11.245368901288462
0.3162,23.0,0,-11.49891385841634
0.3162,23.0,1,11.495469865584267
0.3162,23.5,0,-11.748936942263994
0.3162,23.5,1,11.745566515792751
0.3162,24.0,0,-11.998959065456564
0.3162,24.0,1,11.99566051636706
0.3162,24.5,0,-12.24898028738286
0.3162,24.5,1,12.245747935824426
0.5623,0.5,0,-0.2000971984150294
0.5623,1.0,0,-0.4448570715482433
0.5623,1.5,0,-0.7048947811481864
0.5623,1.5,1,0.4212086109531511
0.5623,2.0,0,-0.9636821686444088
0.5623,2.0,1,0.8487326096147113
0.5623,2.5,0,-1.2200096227019412
0.5623,2.5,1,1.143231078277518
0.5623,3.0,0,-1.4745868550978123
0.5623,3.0,1,1.4163720326529095
0.5623,3.5,0,-1.7280005346355685
0.5623,3.5,1,1.6808587418889127
0.5623,4.0,0,-1.9806302982130934
0.5623,4.0,1,1.9408801969580982
0.5623,4.5,0,-2.23270913049018
0.5623,4.5,1,2.1982660766177164
0.5623,5.0,0,-2.4843900845044797
0.5623,5.0,1,2.453954321097516
0.5623,5.5,0,-2.7357774878344734
0.5623,5.5,1,2.7084842849934847
0.5623,6.0,0,-2.9869406721409075
0.5623,6.0,1,2.9621805506070054
0.5623,6.5,0,-3.237929449497715
0.5623,6.5,1,3.215258875613319
0.5623,7.0,0,-3.4887810231250653
0.5623,7.0,1,3.467864133900057
0.5623,7.5,0,-3.7395192915808084
0.5623,7.5,1,3.720098539983526
0.5623,8.0,0,-3.990167647049725
