Gamma_e,delta_a,delta_f,OmegaA,OmegaB,MuB,peak_index,peak_position
0.0178,8.5,8.49991971496783,0.0260262901412701,1.46276950776654,0.0,1,4.24995985748328
0.0178,9.0,8.99992433425166,0.0260011026310546,1.4627697608264,0.0,0,-4.499962167135248
0.0178,9.0,8.99992433425166,0.0260011026310546,1.4627697608264,0.0,1,4.499962167127344
0.0178,9.5,9.49992828125833,0.0260262161355884,1.46277608907983,0.0,0,-4.749964140640215
0.0178,9.5,9.49992828125833,0.0260262161355884,1.46277608907983,0.0,1,4.749964140629642
0.0178,10.0,9.99993190806989,0.0260262307724146,1.46277510986224,0.0,0,-4.999965954047834
0.0178,10.0,9.99993190806989,0.0260262307724146,1.46277510986224,0.0,1,4.999965954035552
0.0178,10.5,10.4999379049107,0.025595359650493,1.54146400021313,0.0,0,-5.249968952470783
0.0178,10.5,10.4999379049107,0.025595359650493,1.54146400021313,0.0,1,5.249968952455524
0.0178,11.0,10.9999381723073,0.0260261538669587,1.46277717536014,0.0,0,-5.499969086170812
0.0178,11.0,10.9999381723073,0.0260261538669587,1.46277717536014,0.0,1,5.499969086154223
0.0178,11.5,11.499940956217,0.0260010000542135,1.46277265607722,0.0,0,-5.749970478128148
0.0178,11.5,11.499940956217,0.0260010000542135,1.46277265607722,0.0,1,5.749970478108195
0.0178,12.0,11.9999433516942,0.0260261461687943,1.46277730707703,0.0,0,-5.99997167586938
0.0178,12.0,11.9999433516942,0.0260261461687943,1.46277730707703,0.0,1,5.999971675847893
0.0178,12.5,12.499945636048,0.0260261542274987,1.4627753615806,0.0,0,-6.2499728180491845
0.0178,12.5,12.499945636048,0.0260261542274987,1.4627753615806,0.0,1,6.249972818023681
0.0178,13.0,12.9999478383648,0.0260009395457244,1.46277511526101,0.0,0,-6.499973919210784
0.0178,13.0,12.9999478383648,0.0260009395457244,1.46277511526101,0.0,1,6.499973919182297
0.0178,13.5,13.4999548538519,0.0259222562409071,1.60581473866981,0.0,0,-6.749977426957929
0.0178,13.5,13.4999548538519,0.0259222562409071,1.60581473866981,0.0,1,6.74997742692695
0.0178,14.0,13.9999514799375,0.0260261164715802,1.46277996982074,0.0,0,-6.999975740004132
0.0178,14.0,13.9999514799375,0.0260261164715802,1.46277996982074,0.0,1,6.999975739967693
