P_max,OmegaA,OmegaB,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.646979196679492,0.0145410618452636,1.45185512441863,101.152252611304,100.139666843951,0.01,0,0,0,25,515.992410421372
0.646253794823087,0.0146222378688465,1.45125709024675,100.824391641076,99.8139808073992,0.01,0.5,0.499865642568692,9,50,12832.6377267838
0.644722018489224,0.0146236485085603,1.4635507997771,100.777388740978,99.7770651988951,0.01,1,0.99980464391681,17,50,35779.2592554092
0.643022572040483,0.0146243366821883,1.47232045680942,100.849839706844,99.8560359096493,0.01,1.5,1.49981712947421,43,50,108035.357141018
0.641938443584497,0.014624372011914,1.47029085087577,100.952733500771,99.9584277604252,0.01,2,1.99986005865961,42,50,54332.8524475098
0.6415601010979,0.0146241589757835,1.46458657637734,101.002159719432,100.004710579953,0.01,2.5,2.49989820539703,29,50,37147.8351135254
0.641516019932006,0.0146239636309505,1.46207933436571,101.00948847781,100.010275512969,0.01,3,2.99992176401369,35,50,50107.5912759304
0.640868326911247,0.0141408214390639,1.50499132662381,105.984586012396,105.000194385312,0.01,3.5,3.49993954194016,66,50,170628.021336555
0.641550428069159,0.0146237453723198,1.46226831845041,101.005070193593,100.005369399819,0.01,4,3.99994451391214,39,25,21005.4877743721
0.641547597658004,0.0146261957009072,1.47231778869005,100.977165093299,99.9810269052187,0.01,4.5,4.49995110949947,85,50,200366.793394804
0.64113788665211,0.0145183522759453,1.3932915926019,101.887093162153,100.860523799563,0.01,5,4.99995665299594,108,50,252318.90502429
0.641557591990141,0.0146236494759858,1.46252036150829,101.004344483374,100.004555702929,0.01,5.5,5.49996038741712,78,50,209286.48143363
0.640216542751915,0.0141002600412653,1.37021241402084,106.444144522777,105.409251915385,0.01,6,5.99996678330869,102,50,245728.523740053
0.641557792616411,0.0146236387038495,1.46254179138154,101.00436478602,100.004531667952,0.01,6.5,6.49996666801418,110,50,244658.795426369
0.641557734649173,0.0146236323112456,1.46254679201057,101.004360365213,100.004511825874,0.01,7,6.99996910433513,115,50,256459.850707531
0.641229460018702,0.0143533027577656,1.50873767126081,103.750396010444,102.76695894123,0.01,7.5,7.49997229168401,100,50,228141.079654694
0.641557546341827,0.0146236061651064,1.46255233935797,101.004560577439,100.004688314478,0.01,8,7.99997303664233,111,50,265751.835219145
0.641557446870829,0.0146236000485028,1.46255512226152,101.004606525164,100.004725982575,0.01,8.5,8.49997464319671,81,50,212033.769710302
0.641437434097561,0.0147337652458528,1.49722330898374,99.8993343127921,98.9118542513285,0.01,9,8.99997492585226,81,50,198838.686486006
0.641557263694925,0.0146235983693645,1.46255563851903,101.004654325536,100.004759494309,0.01,9.5,9.49997735682819,108,50,233757.635341406
0.641557182695769,0.0146235916358296,1.46255476217751,101.00458929683,100.004688909972,0.01,10,9.9999785120088,72,50,188419.033644199
