Gamma_e,delta_a,delta_f,OmegaP,OmegaM,Mu,peak_index,peak_position
0.01,23.0,22.9901466803805,0.237781309405031,0.13632074794284,0.0,1,11.495073340193079
0.01,23.5,23.4965096450383,0.293451742420374,0.170234816965103,0.0,0,-11.748254822521123
0.01,23.5,23.4965096450383,0.293451742420374,0.170234816965103,0.0,1,11.74825482252111
0.01,24.0,23.9957839666065,0.294773481238761,0.169579418739414,0.0,0,-11.997891983305344
0.01,24.0,23.9957839666065,0.294773481238761,0.169579418739414,0.0,1,11.997891983305344
0.01,24.5,24.5039785279814,0.166475055509396,0.091990782653647,0.0,0,-12.251989263997803
0.01,24.5,24.5039785279814,0.166475055509396,0.091990782653647,0.0,1,12.251989263997807
0.0178,1.0,0.976493859119206,0.218940356979352,0.124703916167871,0.0,0,-0.4882489484046516
0.0178,1.0,0.976493859119206,0.218940356979352,0.124703916167871,0.0,1,0.48824894840465155
0.0178,1.5,1.48458203398185,0.220537042323001,0.124506492297579,0.0,0,-0.7422907419358007
0.0178,1.5,1.48458203398185,0.220537042323001,0.124506492297579,0.0,1,0.7422907419358006
0.0178,2.0,1.98850132240654,0.221058562720966,0.124435780857239,0.0,0,-0.994251424235192
0.0178,2.0,1.98850132240654,0.221058562720966,0.124435780857239,0.0,1,0.9942514242351922
0.0178,2.5,2.49082519424903,0.221295196204201,0.124403301028894,0.0,0,-1.2454125971245205
0.0178,2.5,2.49082519424903,0.221295196204201,0.124403301028894,0.0,1,1.2454125971245205
0.0178,3.0,2.99236404051544,0.22141973914156,0.124385047595006,0.0,0,-1.496182020257682
0.0178,3.0,2.99236404051544,0.22141973914156,0.124385047595006,0.0,1,1.4961820202576819
0.0178,3.5,3.49346112590456,0.221498211094099,0.124375275468531,0.0,0,-1.7467305629523413
0.0178,3.5,3.49346112590456,0.221498211094099,0.124375275468531,0.0,1,1.746730562952341
0.0178,4.0,3.99428157581229,0.221547169622958,0.124368223764955,0.0,0,-1.9971407879061938
0.0178,4.0,3.99428157581229,0.221547169622958,0.124368223764955,0.0,1,1.9971407879061942
0.0178,4.5,4.49491852686279,0.22158236410268,0.124365358549038,0.0,0,-2.2474592634313675
0.0178,4.5,4.49491852686279,0.22158236410268,0.124365358549038,0.0,1,2.2474592634313684
0.0178,5.0,4.99542268914241,0.221689207373712,0.12442220029061,0.0,0,-2.4977113445712593
0.0178,5.0,4.99542268914241,0.221689207373712,0.12442220029061,0.0,1,2.49771134457126
0.0178,5.5,5.49583195932061,0.221811521441387,0.124527178086005,0.0,0,-2.7479159796603674
0.0178,5.5,5.49583195932061,0.221811521441387,0.124527178086005,0.0,1,2.7479159796603674
0.0178,6.0,5.9962923689071,0.219459793788963,0.122892496937585,0.0,0,-2.998146184453595
0.0178,6.0,5.9962923689071,0.219459793788963,0.122892496937585,0.0,1,2.9981461844535944
0.0178,6.5,6.49655539312011,0.219533838914748,0.123354990314884,0.0,0,-3.2482776965601197
0.0178,6.5,6.49655539312011,0.219533838914748,0.123354990314884,0.0,1,3.248277696560119
0.0178,7.0,6.99716544897802,0.208852542692707,0.117249575115723,0.0,0,-3.4985827244891308
0.0178,7.0,6.99716544897802,0.208852542692707,0.117249575115723,0.0,1,3.4985827244891308
0.0178,7.5,7.49831047260953,0.170016755791364,0.0980966006186791,0.0,0,-3.7491552363049574
0.0178,7.5,7.49831047260953,0.170016755791364,0.0980966006186791,0.0,1,3.7491552363049574
0.0178,8.0,7.998715675751,0.154244951525283,0.0902875553439764,0.0,0,-3.9993578378757846
0.0178,8.0,7.998715675751,0.154244951525283,0.0902875553439764,0.0,1,3.999357837875784
0.0178,8.5,8.49852318241292,0.165475941371622,0.098313588352191,0.0,0,-4.249261591206751
0.0178,8.5,8.49852318241292,0.165475941371622,0.098313588352191,0.0,1,4.249261591206752
0.0178,9.0,8.99865132420586,0.163099088180498,0.0967037182540772,0.0,0,-4.499325662103285
0.0178,9.0,8.99865132420586,0.163099088180498,0.0967037182540772,0.0,1,4.499325662103286
0.0178,9.5,9.49862106075972,0.167515867809211,0.0995995964100528,0.0,0,-4.749310530380258
0.0178,9.5,9.49862106075972,0.167515867809211,0.0995995964100528,0.0,1,4.749310530380259
0.0178,10.0,9.99826446945686,0.184679257170159,0.112853244265951,0.0,0,-4.9991322347288065
0.0178,10.0,9.99826446945686,0.184679257170159,0.112853244265951,0.0,1,4.9991322347288065
0.0178,10.5,10.498414161103,0.182035475623984,0.110081716521212,0.0,0,-5.249207080551952
0.0178,10.5,10.498414161103,0.182035475623984,0.110081716521212,0.0,1,5.249207080551952
0.0178,11.0,10.9987383998335,0.173506836172022,0.0995176352698174,0.0,0,-5.499369199917324
0.0178,11.0,10.9987383998335,0.173506836172022,0.0995176352698174,0.0,1,5.499369199917323
0.0178,11.5,11.4985069809625,0.184995442718364,0.109283119555239,0.0,0,-5.749253490481819
0.0178,11.5,11.4985069809625,0.184995442718364,0.109283119555239,0.0,1,5.749253490481819
0.0178,12.0,11.9984117500483,0.191775117823251,0.114033769988264,0.0,0,-5.999205875024757
0.0178,12.0,11.9984117500483,0.191775117823251,0.114033769988264,0.0,1,5.999205875024758
0.0178,12.5,12.4977737959166,0.217131810403156,0.137639753625765,0.0,0,-6.248886897958825
0.0178,12.5,12.4977737959166,0.217131810403156,0.137639753625765,0.0,1,6.248886897958825
0.0178,13.0,12.9982106228252,0.205121469460918,0.123534932026121,0.0,0,-6.499105311413274
0.0178,13.0,12.9982106228252,0.205121469460918,0.123534932026121,0.0,1,6.499105311413275
0.0178,13.5,13.4984479012665,0.201847911190583,0.116267467395434,0.0,0,-6.749223950634032
0.0178,13.5,13.4984479012665,0.201847911190583,0.116267467395434,0.0,1,6.749223950634032
0.0178,14.0,13.9984516865214,0.205904267212473,0.117640388254577,0.0,0,-6.9992258432615495
0.0178,14.0,13.9984516865214,0.205904267212473,0.117640388254577,0.0,1,6.999225843261548
0.0178,14.5,14.4984246332113,0.221693675111562,0.124347114344176,0.0,0,-7.249212316606465
0.0178,14.5,14.4984246332113,0.221693675111562,0.124347114344176,0.0,1,7.249212316606465
0.0178,15.0,14.9985496861596,0.209527829211747,0.114195477144569,0.0,0,-7.499274843080846
0.0178,15.0,14.9985496861596,0.209527829211747,0.114195477144569,0.0,1,7.499274843080845
0.0178,15.5,15.4980155395953,0.206773891582121,0.106851314346256,0.0,0,-7.749007769798842
0.0178,15.5,15.4980155395953,0.206773891582121,0.106851314346256,0.0,1,7.749007769798842
0.0178,16.0,15.998152106093,0.214712056345787,0.113076575334434,0.0,0,-7.999076053047714
0.0178,16.0,15.998152106093,0.214712056345787,0.113076575334434,0.0,1,7.999076053047715
0.0178,16.5,16.4982277921237,0.222575258168275,0.119542055763335,0.0,0,-8.249113896063085
0.0178,16.5,16.4982277921237,0.222575258168275,0.119542055763335,0.0,1,8.249113896063085
0.0178,17.0,16.9978078225884,0.244713072842592,0.146406002592841,0.0,0,-8.498903911295244
0.0178,17.0,16.9978078225884,0.244713072842592,0.146406002592841,0.0,1,8.498903911295244
0.0178,17.5,17.4986952004318,0.221697837867855,0.124347478081381,0.0,0,-8.749347600217357
0.0178,17.5,17.4986952004318,0.221697837867855,0.124347478081381,0.0,1,8.749347600217359
0.0178,18.0,17.9980695986516,0.243913073254457,0.137031235850718,0.0,0,-8.99903479932712
0.0178,18.0,17.9980695986516,0.243913073254457,0.137031235850718,0.0,1,8.99903479932712
0.0178,18.5,18.497840102282,0.244586228899706,0.134028413224819,0.0,0,-9.248920051142433
0.0178,18.5,18.497840102282,0.244586228899706,0.134028413224819,0.0,1,9.248920051142433
0.0178,19.0,18.9987969127804,0.22172557446065,0.124367264200516,0.0,0,-9.499398456392038
0.0178,19.0,18.9987969127804,0.22172557446065,0.124367264200516,0.0,1,9.499398456392038
0.0178,19.5,19.4977803253929,0.257793905991201,0.144818871244393,0.0,0,-9.748890162697933
0.0178,19.5,19.4977803253929,0.257793905991201,0.144818871244393,0.0,1,9.748890162697931
0.0178,20.0,19.9960546593941,0.251059730910281,0.134452516125939,0.0,0,-9.998027329698784
0.0178,20.0,19.9960546593941,0.251059730910281,0.134452516125939,0.0,1,9.998027329698782
0.0178,20.5,20.4988833356359,0.221826106290717,0.124442694392614,0.0,0,-10.24944166782028
0.0178,20.5,20.4988833356359,0.221826106290717,0.124442694392614,0.0,1,10.249441667820282
0.0178,21.0,20.9925125585173,0.242469388380126,0.130911501203642,0.0,0,-10.496256279260773
0.0178,21.0,20.9925125585173,0.242469388380126,0.130911501203642,0.0,1,10.496256279260775
0.0178,21.5,21.4989412344719,0.221447818472997,0.124163827750698,0.0,0,-10.749470617238646
0.0178,21.5,21.4989412344719,0.221447818472997,0.124163827750698,0.0,1,10.749470617238646
0.0178,22.0,21.9989565199081,0.222057192404885,0.124625805323092,0.0,0,-10.999478259956915
0.0178,22.0,21.9989565199081,0.222057192404885,0.124625805323092,0.0,1,10.999478259956923
0.0178,22.5,22.4989848130994,0.221635512530188,0.124316801795365,0.0,0,-11.249492406552777
0.0178,22.5,22.4989848130994,0.221635512530188,0.124316801795365,0.0,1,11.249492406552777
0.0178,23.0,22.9968695383102,0.290751526669655,0.166619563586903,0.0,0,-11.498434769156981
0.0178,23.0,22.9968695383102,0.290751526669655,0.166619563586903,0.0,1,11.49843476915698
0.0178,23.5,23.4967593876147,0.295603737154168,0.170240504680457,0.0,0,-11.748379693809282
