P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.0586369929726076,0.180786006236322,0.099005658908758,7.90067599237298,0,0.01,0,0,0,30,278.769225120544
0.0308177020069993,0.600718529865548,0.406153950891144,2.86755605749595,0,0.01,0.5,0,1,30,573.295952558518
0.0187617202313798,0.835775015554649,0.767374409646226,1.95657207199229,0,0.01,1,0,0,30,423.765238285065
0.0131504227677689,0.940610798949145,1.16607541382404,1.60461252820798,0,0.01,1.5,0,0,30,462.693140506744
0.0100435963510718,0.983209747667451,1.57909559237891,1.43521000814567,0,0.01,2,0,0,30,379.012639760971
0.008103425934195,1.00228731441778,1.99408809328202,1.33933717182903,0,0.01,2.5,0,0,30,510.19336605072
0.0067847978956395,1.01216718769077,2.40797462225381,1.27824790234113,0,0.01,3,0,0,30,556.630153179169
0.0058326382083897,1.01798620565698,2.82058730199388,1.23584844873091,0,0.01,3.5,0,0,30,504.409291744232
0.005113640120092,1.0217058664056,3.23205791006749,1.20474593014936,0,0.01,4,0,1,30,740.606778383255
0.0045518403991474,1.0242613342462,3.64268532071096,1.18090717935798,0,0.01,4.5,0,1,30,872.279775381088
0.0041009223845656,1.02609333175868,4.05262568674991,1.16205441888593,0,0.01,5,0,3,30,998.939679861069
0.0037310874703259,1.02742287612035,4.46216004857845,1.14678585557847,0,0.01,5.5,0,1,30,780.818400144577
0.0034223132087769,1.02846082921022,4.87131307399378,1.13413313986872,0,0.01,6,0,1,30,765.995838165283
0.003160656255249,1.02927428534754,5.28015689963941,1.1234800462147,0,0.01,6.5,0,4,30,1862.24597072601
0.0029361118583352,1.02993429135153,5.68876996142039,1.11440662415716,0,0.01,7,0,3,30,1804.7278585434
0.0027413168611026,1.03044760248759,6.09725359060861,1.10659136914745,0,0.01,7.5,0,1,30,794.163549184799
0.0025707328911742,1.0308767846479,6.50555666273433,1.09976549217324,0,0.01,8,0,2,30,1838.03908705711
0.0024201146407268,1.03123541348905,6.91373094354734,1.09375922384359,0,0.01,8.5,0,3,30,1932.58566021919
0.0022861536512288,1.03153228136458,7.32174933161182,1.08844135774675,0,0.01,9,0,1,30,793.359265565872
0.0021662336062524,1.03180182695035,7.72976361020732,1.0836853626001,0,0.01,9.5,0,3,30,1818.66132068634
0.0020582584599863,1.03201952362406,8.13767359616135,1.07942277030636,0,0.01,10,0,1,30,868.298155784607
0.001960529322637,1.03220841578559,8.5455436201493,1.07556579490313,0,0.01,10.5,0,3,30,1951.47939419746
0.0018716547046957,1.03237259319178,8.95331142597414,1.07207235213336,0,0.01,11,0,4,30,1122.94587635994
0.0017904840366044,1.03251977740979,9.36105607794728,1.0688866971934,0,0.01,11.5,0,1,30,830.338416576386
0.0017160577173167,1.03264688587463,9.76880963496827,1.06596912104591,0,0.01,12,0,4,30,1127.90289998055
0.0016475690901903,1.03275507358142,10.1764875482807,1.06329207369157,0,0.01,12.5,0,2,30,1816.60318422318
0.0015843351525605,1.03285665493514,10.584145697986,1.0608180769359,0,0.01,13,0,2,30,1834.94511604309
0.0015257737455703,1.03294102978293,10.9917023493296,1.05854014900095,0,0.01,13.5,0,5,30,2013.13927483559
0.0014713856117578,1.03302100809678,11.3993467955634,1.05642201341219,0,0.01,14,0,4,30,1985.37486886978
0.0014207401505339,1.03309765988713,11.8069165662902,1.05444555371403,0,0.01,14.5,0,6,30,2151.65616035461
0.0013734640122187,1.03316530132661,12.2144770533975,1.05260560639868,0,0.01,15,0,4,30,1783.46028542519
0.0013292318922406,1.03322462853108,12.6219945267982,1.05088527724701,0,0.01,15.5,0,6,30,2146.23554897308
0.0012877590456249,1.03327282096473,13.0295190986583,1.04928463225108,0,0.01,16,0,6,30,2146.36462426186
0.0012487951585272,1.03332165926641,13.437022901348,1.04777135772569,0,0.01,16.5,0,5,30,2072.78827118874
0.0012121192978912,1.03336639506612,13.8444755306596,1.04634838324085,0,0.01,17,0,1,30,883.830899715424
0.0011775357246932,1.03341185332455,14.2519694960282,1.04500819834481,0,0.01,17.5,0,6,30,2167.45747494698
0.0011448704029941,1.03344672478294,14.6594126687898,1.04374397578721,0,0.01,18,0,4,30,1946.79295253754
0.0011139680737478,1.03348340104659,15.0668590732039,1.04254932965585,0,0.01,18.5,0,6,30,2188.19626069069
0.0010846897894701,1.03351774239667,15.4743300754067,1.04141569947506,0,0.01,19,0,9,30,2202.32893657684
0.0010569108273618,1.03354404559156,15.8817470334405,1.04034758278925,0,0.01,19.5,0,3,30,1908.97482419014
0.0010305189147464,1.03357466145838,16.2891844524865,1.03932735007754,0,0.01,20,0,9,30,2122.35172152519
0.0010054127136667,1.03359664414763,16.6966189664075,1.03836413550476,0,0.01,20.5,0,3,30,1972.30403876305
0.0009815005215339,1.03362217491567,17.1040056546142,1.03743823935632,0,0.01,21,0,9,30,2716.24936652184
0.0009586991526871,1.03364624804347,17.5114426693028,1.03655673109564,0,0.01,21.5,0,4,30,2016.44987940788
0.0009369329722323,1.03366201851071,17.9188183992236,1.03572399267773,0,0.01,22,0,9,30,2339.64851641655
